name,date,city,state,country
Billie Eilish,2023-03-17,San Isidro,, Argentina
Billie Eilish,2023-03-17,Santiago,, Chile
Billie Eilish,2023-03-21,Asunción,, Paraguay
Billie Eilish,2023-03-23,Bogota,, Colombia
Billie Eilish,2023-03-24,São Paulo,, Brazil
Billie Eilish,2023-03-29,Mexico City,, Mexico
Billie Eilish,2023-03-31,Monterrey,, Mexico
Billie Eilish,2023-04-02,Tlajomulco de Zuñiga,, Mexico
Billie Eilish,2023-08-04,Montreal, QC, Canada
Billie Eilish,2023-08-09,Budapest,, Hungary
Billie Eilish,2023-08-23,Paris,, France
Billie Eilish,2023-08-23,Reading,, UK
Billie Eilish,2023-08-25,Wetherby,, UK
Billie Eilish,2023-09-01,Laois,, Ireland
