,start_date,end_date,date_range,timedelta_days,bands,band_count,city,country,state
0,2023-03-19,2023-03-20,2023-03-19 to 2023-03-20,1,"('Thrown', 'Plini')",2,Aarau, Switzerland,
162,2023-05-08,2023-05-08,2023-05-08,0,"('Sungazer', 'Plini')",2,Minneapolis, US, MN
163,2023-03-31,2023-03-31,2023-03-31,0,"('Twenty One Pilots', 'Billie Eilish')",2,Monterrey, Mexico,
165,2023-05-06,2023-05-06,2023-05-06,0,"('Arch Echo', 'Haken')",2,Montreal, Canada, QC
166,2023-07-05,2023-07-05,2023-07-05,0,"('Bring Me The Horizon', 'Fall Out Boy')",2,Mountain View, US, CA
167,2023-05-22,2023-05-24,2023-05-22 to 2023-05-24,2,"('Hans Zimmer', 'Polyphia')",2,Munich, Germany,
168,2023-03-20,2023-03-21,2023-03-20 to 2023-03-21,1,"('Thrown', 'Tigran Hamasyan')",2,Munich, Germany,
170,2023-03-16,2023-03-20,2023-03-16 to 2023-03-20,4,"('Tigran Hamasyan', 'Plini')",2,Munich, Germany,
171,2023-06-20,2023-06-24,2023-06-20 to 2023-06-24,4,"('Hollywood Undead', 'Unprocessed')",2,Münster, Germany,
172,2023-03-16,2023-03-17,2023-03-16 to 2023-03-17,1,"('Thrown', 'Haken')",2,Nantes, France,
173,2023-07-22,2023-07-27,2023-07-22 to 2023-07-27,5,"('Ed Sheeran', 'The Chicks')",2,Nashville, US, TN
174,2023-06-23,2023-06-25,2023-06-23 to 2023-06-25,2,"('LCD Soundsystem', 'Matchbox Twenty')",2,Nashville, US, TN
175,2023-04-23,2023-04-26,2023-04-23 to 2023-04-26,3,"('Mac Ayres', 'Snarky Puppy')",2,Nashville, US, TN
176,2023-07-27,2023-07-29,2023-07-27 to 2023-07-29,2,"('The Chicks', 'Sam Smith')",2,Nashville, US, TN
177,2023-06-16,2023-06-16,2023-06-16,0,"('Muse', 'Queens of the Stone Age')",2,Neuhausen Ob Eck, Germany,
178,2023-04-15,2023-04-16,2023-04-15 to 2023-04-16,1,"('Mac Ayres', 'Moonchild')",2,New Orleans, US, LA
179,2023-05-11,2023-05-11,2023-05-11,0,"('Arch Echo', 'Haken')",2,New York (NYC), US, NY
180,2023-04-13,2023-04-15,2023-04-13 to 2023-04-15,0,"('Joey Alexander', 'Snarky Puppy')",2,New York (NYC), US, NY
182,2023-05-14,2023-05-15,2023-05-14 to 2023-05-15,0,"('Sungazer', 'Plini')",2,New York (NYC), US, NY
183,2023-06-07,2023-06-07,2023-06-07,0,"('Three Days Grace', 'You Me At Six')",2,Nickelsdorf, Austria,
184,2023-07-16,2023-07-16,2023-07-16,0,"('Bring Me The Horizon', 'Fall Out Boy')",2,Noblesville, US, IN
185,2023-08-05,2023-08-06,2023-08-05 to 2023-08-06,1,"('Matchbox Twenty', 'Zac Brown Band')",2,Noblesville, US, IN
189,2023-04-20,2023-04-22,2023-04-20 to 2023-04-22,2,"('Mac Ayres', 'The Red Jumpsuit Apparatus')",2,Orlando, US, FL
190,2023-04-15,2023-04-20,2023-04-15 to 2023-04-20,5,"('Mac Ayres', 'Three Days Grace')",2,Orlando, US, FL
191,2023-05-20,2023-05-20,2023-05-20,0,"('Sungazer', 'Plini')",2,Orlando, US, FL
192,2023-03-29,2023-03-29,2023-03-29,0,"('Haken', 'Sungazer')",2,Oslo, Norway,
160,2023-04-27,2023-04-30,2023-04-27 to 2023-04-30,3,"('Joey Alexander', 'Three Days Grace')",2,Minneapolis, US, MN
159,2023-04-25,2023-04-27,2023-04-25 to 2023-04-27,2,"('Joey Alexander', 'Hiatus Kaiyote')",2,Minneapolis, US, MN
