start_date,end_date,date_range,timedelta_days,bands,band_count,city,country,state,raw_score,avg_score
2023-05-30,2023-06-03,2023-05-30 to 2023-06-03,5,"('Hans Zimmer', 'Shai Maestro')",2,Vienna,Austria,,90.0,45.0
2023-07-02,2023-07-02,2023-07-02,1,"('Shai Maestro', 'Thundercat')",2,Lewes,UK,,100.0,50.0
2023-06-09,2023-06-09,2023-06-09,1,"('Hans Zimmer', 'Muse')",2,Cologne,Germany,,130.0,65.0
2023-05-30,2023-06-02,2023-05-30 to 2023-06-02,4,"('LCD Soundsystem', 'Matchbox Twenty')",2,San Diego,US,CA,140.0,70.0
2023-06-23,2023-06-25,2023-06-23 to 2023-06-25,3,"('LCD Soundsystem', 'Matchbox Twenty')",2,Nashville,US,TN,140.0,70.0
2023-06-23,2023-06-28,2023-06-23 to 2023-06-28,6,"('Muse', 'The Chicks')",2,Glasgow,UK,,140.0,70.0
2023-06-24,2023-06-27,2023-06-24 to 2023-06-27,4,"('DOMi & JD BECK', 'Hans Zimmer')",2,Paris,France,,140.0,70.0
2023-06-25,2023-07-01,2023-06-25 to 2023-07-01,7,"('LCD Soundsystem', 'The Chainsmokers')",2,Chicago,US,IL,140.0,70.0
2023-04-04,2023-04-04,2023-04-04,1,"('May Erlewine', 'Theo Katzman')",2,Vancouver,Canada,BC,150.0,75.0
2023-05-02,2023-05-02,2023-05-02,1,"('May Erlewine', 'Theo Katzman')",2,Montreal,Canada,QC,150.0,75.0
2023-05-03,2023-05-03,2023-05-03,1,"('May Erlewine', 'Theo Katzman')",2,Toronto,Canada,ON,150.0,75.0
2023-05-05,2023-05-05,2023-05-05,1,"('Mac Ayres', 'May Erlewine')",2,Chicago,US,IL,150.0,75.0
2023-05-12,2023-05-12,2023-05-12,1,"('May Erlewine', 'Theo Katzman')",2,Minneapolis,US,MN,150.0,75.0
2023-05-14,2023-05-14,2023-05-14,1,"('May Erlewine', 'Theo Katzman')",2,Madison,US,TN,150.0,75.0
2023-06-20,2023-06-23,2023-06-20 to 2023-06-23,4,"('Hans Zimmer', 'Thundercat')",2,Paris,France,,150.0,75.0
2023-08-05,2023-08-10,2023-08-05 to 2023-08-10,6,"('Lamb Of God', 'The Chicks')",2,Hershey,US,PA,150.0,75.0
2023-05-06,2023-05-06,2023-05-06,1,"('Mac Ayres', 'Theo Katzman')",2,Detroit,US,MI,160.0,80.0
2023-06-15,2023-06-16,2023-06-15 to 2023-06-16,2,"('Hans Zimmer', 'Harry Styles')",2,London,UK,,160.0,80.0
2023-06-30,2023-07-05,2023-06-30 to 2023-07-05,6,"('Snarky Puppy', 'Yaron Herman')",2,Vienne,France,,160.0,80.0
2023-07-04,2023-07-09,2023-07-04 to 2023-07-09,6,"('Eagles of Death Metal', 'Todd Rundgren')",2,London,UK,,160.0,80.0
2023-08-19,2023-08-23,2023-08-19 to 2023-08-23,5,"('Ed Sheeran', 'Lamb Of God')",2,Denver,US,CO,160.0,80.0
2023-05-25,2023-05-30,2023-05-25 to 2023-05-30,6,"('Lizzo', 'Matchbox Twenty')",2,San Diego,US,CA,170.0,85.0
2023-06-02,2023-06-03,2023-06-02 to 2023-06-03,2,"('Miguel Migs', 'Mr. Carmack')",2,Orlando,US,FL,170.0,85.0
2023-06-16,2023-06-16,2023-06-16,1,"('Muse', 'Queens of the Stone Age')",2,Neuhausen Ob Eck,Germany,,170.0,85.0
2023-06-16,2023-06-16,2023-06-16,1,"('Muse', 'Queens of the Stone Age')",2,Scheessel,Germany,,170.0,85.0
2023-06-21,2023-06-23,2023-06-21 to 2023-06-23,3,"('Fall Out Boy', 'LCD Soundsystem')",2,Chicago,US,IL,170.0,85.0
2023-06-21,2023-06-27,2023-06-21 to 2023-06-27,7,"('Harry Styles', 'The Chicks')",2,Cardiff,UK,,170.0,85.0
2023-07-22,2023-07-27,2023-07-22 to 2023-07-27,6,"('Ed Sheeran', 'The Chicks')",2,Nashville,US,TN,170.0,85.0
2023-05-04,2023-05-05,2023-05-04 to 2023-05-05,2,"('Hiatus Kaiyote', 'Muse')",2,Atlanta,US,GA,180.0,90.0
2023-05-04,2023-05-05,2023-05-04 to 2023-05-05,2,"('Arch Echo', 'Theo Katzman')",2,Cleveland,US,OH,180.0,90.0
2023-05-13,2023-05-13,2023-05-13,1,"('OneRepublic', 'The Chainsmokers')",2,Mexico City,Mexico,,180.0,90.0
