Band	Tier
AJR	1
Lil Nas X	1
Lindsey Stirling	1
Mike Shinoda	1
Zedd	1
Paramore	2
Charlie Curtis-Beard	2
Tennyson	2
deadmau5	2
Bring Me The Horizon	2
Jacob Collier	2
Linkin Park	2
Marshmello	2
System Of A Down	2
Three Days Grace	2
Fort Minor	3
A Perfect Circle	3
Lady Gaga	3
Magnolia Park	3
Martin Garrix	3
Theory of a Deadman	3
Diplo	3
Disclosure	3
Powfu	3
Quietdrive	3
Ariana Grande	4
Avenged Sevenfold	4
Breaking Benjamin	4
Fall Out Boy	4
Korn	4
Maroon 5	4
My Darkest Days	4
Twenty One Pilots	4
NOTD	4
Echosmith	4
Bo Burnham	5
Billie Eilish	5
Demi Lovato	5
Marianas Trench	5
Thirty Seconds To Mars	5
Axwell & Ingrosso	5
Christian French	5
Abhi The Nomad	5
OneRepublic	5
Parov Stelar	5
5 Seconds of Summer	6
CORPSE	6
Disturbed	6
Ed Sheeran	6
Fergie	6
Good Charlotte	6
Hollywood Undead	6
Lizzo	6
Post Malone	6
Flyleaf	6
Shawn Mendes	7
Todrick Hall	7
You Me At Six	7
Aries	7
Sam Smith	7
smle	7
The Chainsmokers	7
Matchbox Twenty	7
The Chicks	7
Woodkid	7
